Person Id,Floor Access DateTime,Floor Level,Building
1,10/1/15 8:02,6,B
2,10/1/15 8:02,5,C
3,10/1/15 8:03,1,C
4,10/1/15 8:04,9,A
5,10/1/15 8:04,6,B
6,10/1/15 8:07,10,A
7,10/1/15 8:07,9,C
8,10/1/15 8:07,9,B
9,10/1/15 8:07,10,C
10,10/1/15 8:14,4,B
11,10/1/15 8:27,8,C
12,10/1/15 8:28,7,C
13,10/1/15 8:28,4,B
14,10/1/15 8:33,5,B
15,10/1/15 8:38,9,C
16,10/1/15 8:40,6,B
17,10/1/15 9:00,4,C
18,10/1/15 9:00,6,C
19,10/1/15 9:00,9,C
20,10/1/15 9:00,1,B
21,10/1/15 9:00,3,A
22,10/1/15 9:04,9,A
23,10/1/15 9:08,3,C
24,10/1/15 9:09,9,A
25,10/1/15 9:10,4,A
26,10/1/15 9:11,1,C
27,10/1/15 9:12,2,C
28,10/1/15 9:18,6,B
29,10/1/15 9:27,9,A
30,10/1/15 9:27,4,B
31,10/1/15 9:28,7,B
32,10/1/15 9:32,10,B
33,10/1/15 9:36,7,B
28,10/1/15 9:40,8,C
34,10/1/15 9:47,10,A
35,10/1/15 9:47,8,C
36,10/1/15 10:00,8,B
37,10/1/15 10:00,9,A
38,10/1/15 10:00,8,A
39,10/1/15 10:00,8,B
40,10/1/15 10:04,6,A
41,10/1/15 10:07,6,C
42,10/1/15 10:07,1,A
43,10/1/15 10:11,10,C
44,10/1/15 10:12,5,A
45,10/1/15 10:13,6,B
46,10/1/15 10:16,4,B
47,10/1/15 10:17,5,C
48,10/1/15 10:17,4,C
49,10/1/15 10:19,4,C
50,10/1/15 10:19,10,A
51,10/1/15 10:20,5,B
52,10/1/15 10:20,2,A
53,10/1/15 10:20,5,A
54,10/1/15 10:20,4,C
55,10/1/15 10:21,8,B
56,10/1/15 10:21,10,C
57,10/1/15 10:23,6,A
58,10/1/15 10:24,9,B
59,10/1/15 10:26,1,A
60,10/1/15 10:27,6,A
61,10/1/15 10:27,4,A
62,10/1/15 10:27,5,B
63,10/1/15 10:28,8,C
64,10/1/15 10:28,1,C
65,10/1/15 10:29,9,C
66,10/1/15 10:30,8,A
67,10/1/15 10:31,8,B
68,10/1/15 10:31,5,B
69,10/1/15 10:32,6,B
70,10/1/15 10:32,4,C
71,10/1/15 10:32,6,B
72,10/1/15 10:32,10,B
73,10/1/15 10:33,10,A
74,10/1/15 10:34,1,A
75,10/1/15 10:34,1,A
76,10/1/15 10:37,6,A
77,10/1/15 10:37,6,A
78,10/1/15 10:37,4,C
79,10/1/15 10:37,5,A
80,10/1/15 10:38,1,A
81,10/1/15 10:38,5,C
82,10/1/15 10:40,1,C
83,10/1/15 10:40,7,C
84,10/1/15 10:40,10,A
85,10/1/15 10:40,2,A
86,10/1/15 10:40,9,A
87,10/1/15 10:41,5,B
88,10/1/15 10:41,5,A
89,10/1/15 10:42,3,C
18,10/1/15 10:42,9,A
90,10/1/15 10:43,10,C
91,10/1/15 10:44,5,A
92,10/1/15 10:46,10,A
93,10/1/15 10:47,8,A
94,10/1/15 10:47,9,B
95,10/1/15 10:48,5,B
96,10/1/15 10:48,7,A
97,10/1/15 10:49,8,C
13,10/1/15 12:00,9,A
13,10/1/15 12:01,2,C
22,10/1/15 12:02,2,C
31,10/1/15 12:02,5,C
22,10/1/15 12:03,4,B
44,10/1/15 12:03,4,B
16,10/1/15 12:03,5,B
38,10/1/15 12:11,10,B
51,10/1/15 12:14,9,C
4,10/1/15 12:16,5,A
58,10/1/15 12:19,3,C
82,10/1/15 12:21,1,A
12,10/1/15 12:23,4,A
91,10/1/15 12:26,8,A
80,10/1/15 12:29,10,B
71,10/1/15 12:36,9,C
8,10/1/15 12:40,6,A
33,10/1/15 12:46,9,C
21,10/1/15 13:00,7,C
52,10/1/15 13:00,6,A
64,10/1/15 13:01,3,A
31,10/1/15 13:01,3,A
74,10/1/15 13:01,2,A
61,10/1/15 13:01,6,B
65,10/1/15 13:02,5,C
15,10/1/15 13:03,10,A
24,10/1/15 13:04,8,B
63,10/1/15 13:07,9,B
64,10/1/15 13:07,10,B
44,10/1/15 13:07,9,C
88,10/1/15 13:08,8,A
77,10/1/15 13:10,5,C
67,10/1/15 13:11,6,B
28,10/1/15 13:11,7,C
11,10/1/15 13:11,5,C
3,10/1/15 13:11,3,B
46,10/1/15 13:11,7,B
45,10/1/15 13:14,10,C
39,10/1/15 13:14,9,A
94,10/1/15 13:14,4,B
46,10/1/15 13:16,7,B
89,10/1/15 13:17,4,A
48,10/1/15 13:17,8,C
51,10/1/15 13:18,7,A
73,10/1/15 13:19,7,B
23,10/1/15 13:20,7,A
11,10/1/15 13:21,4,C
43,10/1/15 13:21,5,B
5,10/1/15 13:22,5,A
40,10/1/15 13:22,8,C
28,10/1/15 13:22,8,A
75,10/1/15 13:23,8,B
86,10/1/15 13:24,7,B
47,10/1/15 13:24,2,C
76,10/1/15 13:24,10,C
41,10/1/15 13:26,4,B
50,10/1/15 13:27,10,A
36,10/1/15 13:28,3,A
42,10/1/15 13:29,8,C
37,10/1/15 13:29,2,A
54,10/1/15 13:31,2,C
65,10/1/15 13:33,5,C
69,10/1/15 13:37,2,B
56,10/1/15 13:39,9,B
81,10/1/15 13:40,3,A
39,10/1/15 13:44,10,A
15,10/1/15 13:47,3,A
6,10/1/15 13:47,2,A
58,10/1/15 13:48,9,C
63,10/1/15 13:48,8,C
93,10/1/15 14:00,6,B
41,10/1/15 14:00,1,B
20,10/1/15 14:01,6,C
62,10/1/15 14:02,7,B
66,10/1/15 14:03,5,B
84,10/1/15 14:03,5,A
24,10/1/15 14:03,7,B
9,10/1/15 14:04,9,A
48,10/1/15 14:04,3,C
66,10/1/15 14:04,6,C
66,10/1/15 14:06,9,B
